,birth_date,job,marital,education,default,housing,loan,contact_date,contact,campaign,pdays,previous,poutcome,y
47,1970-04-15,unknown,married,unknown,unknown,yes,no,2008-05-22,telephone,1,999,0,nonexistent,0
48,1977-02-12,technician,married,professional.course,no,no,no,2008-05-21,telephone,2,999,0,nonexistent,0
49,1961-09-28,blue-collar,married,high.school,no,yes,no,2008-07-22,cellular,18,999,0,nonexistent,0
50,1977-06-16,admin.,single,high.school,no,no,no,2009-05-29,cellular,9,999,0,nonexistent,0
51,1984-04-23,services,single,high.school,no,yes,no,2008-07-10,cellular,2,999,0,nonexistent,0
52,1919-01-20,retired,married,university.degree,no,yes,yes,2009-09-16,cellular,1,999,2,failure,0
53,1982-03-26,services,married,university.degree,no,yes,no,2009-05-26,cellular,1,999,0,nonexistent,0
54,1965-12-21,technician,divorced,professional.course,unknown,yes,no,2009-04-20,telephone,5,999,1,failure,0
55,1980-03-25,technician,single,university.degree,no,yes,no,2009-07-31,cellular,1,999,0,nonexistent,0
56,1973-05-17,admin.,married,high.school,no,no,no,2008-06-16,telephone,1,999,0,nonexistent,0
57,1967-05-10,self-employed,married,high.school,no,unknown,unknown,2008-06-11,telephone,1,999,0,nonexistent,0
58,1953-05-15,technician,married,basic.9y,no,no,no,2008-06-30,telephone,3,999,0,nonexistent,0
59,1981-02-28,blue-collar,married,basic.9y,no,yes,no,2008-05-27,telephone,3,999,0,nonexistent,0
60,1971-06-29,admin.,married,university.degree,unknown,no,no,2008-08-27,cellular,1,999,0,nonexistent,1
61,1965-07-30,self-employed,divorced,university.degree,unknown,yes,no,2008-06-17,telephone,4,999,0,nonexistent,0
62,1978-01-29,admin.,single,university.degree,no,yes,no,2009-12-29,cellular,2,999,0,nonexistent,0
63,1918-06-10,retired,married,unknown,no,yes,no,2010-05-06,cellular,1,6,2,success,0
64,1965-09-26,technician,married,professional.course,no,yes,no,2008-05-20,telephone,1,999,0,nonexistent,0
65,1962-04-21,management,single,university.degree,no,no,no,2008-05-20,telephone,1,999,0,nonexistent,0
66,1952-02-24,services,married,basic.9y,unknown,no,no,2008-05-26,telephone,1,999,0,nonexistent,0
67,1975-11-10,technician,single,unknown,no,no,no,2008-11-05,cellular,1,999,0,nonexistent,0
68,1951-03-08,management,married,university.degree,no,yes,no,2008-11-12,cellular,2,999,0,nonexistent,0
69,1950-02-03,unknown,married,unknown,no,yes,no,2009-05-25,cellular,7,6,1,success,0
70,1977-09-04,technician,single,university.degree,no,yes,no,2009-05-05,cellular,2,999,1,failure,0
71,1981-04-02,blue-collar,single,basic.9y,no,yes,no,2009-04-10,cellular,2,999,0,nonexistent,0
72,1956-11-11,housemaid,married,basic.4y,unknown,yes,no,2008-08-04,cellular,2,999,0,nonexistent,0
73,1957-04-22,blue-collar,married,basic.4y,no,yes,yes,2008-06-23,telephone,1,999,0,nonexistent,0
74,1952-06-30,blue-collar,married,basic.6y,unknown,no,no,2009-05-27,cellular,5,999,0,nonexistent,0
75,1968-05-11,blue-collar,single,basic.9y,no,yes,no,2009-05-20,cellular,1,999,0,nonexistent,1
76,1952-05-31,retired,married,basic.4y,unknown,yes,no,2008-08-21,cellular,1,999,0,nonexistent,0
77,1974-05-26,technician,single,university.degree,no,no,no,2008-07-29,cellular,1,999,0,nonexistent,0
78,1973-09-06,technician,married,unknown,unknown,no,no,2008-05-29,telephone,2,999,0,nonexistent,1
79,1959-11-11,blue-collar,married,unknown,unknown,no,no,2008-07-07,cellular,2,999,0,nonexistent,0
80,1975-01-21,admin.,divorced,university.degree,no,no,no,2008-05-30,telephone,1,999,0,nonexistent,0
81,1976-11-09,admin.,married,university.degree,no,yes,no,2008-08-26,cellular,3,999,0,nonexistent,0
82,1983-05-27,admin.,married,university.degree,no,yes,no,2009-03-16,cellular,2,999,0,nonexistent,0
83,1963-04-26,blue-collar,divorced,basic.9y,no,no,yes,2009-04-22,cellular,1,999,0,nonexistent,1
84,1985-08-22,student,single,high.school,no,yes,no,2010-10-04,cellular,2,6,3,success,1
85,1978-05-16,technician,married,professional.course,no,no,no,2008-05-22,telephone,3,999,0,nonexistent,0
86,1978-02-09,blue-collar,married,basic.9y,no,no,no,2008-11-06,cellular,3,999,0,nonexistent,0
87,1965-05-24,blue-collar,married,basic.6y,no,no,yes,2009-05-21,cellular,2,999,0,nonexistent,0
88,1978-12-10,admin.,single,university.degree,no,no,no,2008-11-20,cellular,1,999,1,failure,0
89,1954-12-30,management,married,university.degree,no,yes,no,2009-11-04,cellular,1,999,1,failure,0
90,1974-11-10,admin.,single,university.degree,no,no,no,2008-08-29,cellular,1,999,0,nonexistent,0
91,1944-07-28,retired,married,unknown,no,unknown,unknown,2009-10-05,telephone,3,999,1,failure,0
92,1967-05-02,housemaid,married,university.degree,no,no,no,2008-05-15,telephone,1,999,0,nonexistent,0
93,1957-01-02,technician,married,professional.course,no,yes,no,2010-03-22,telephone,5,999,2,failure,0
94,1968-04-29,technician,married,professional.course,no,no,no,2008-08-18,cellular,3,999,0,nonexistent,0
95,1968-04-05,entrepreneur,married,university.degree,no,no,no,2008-07-09,cellular,4,999,0,nonexistent,0
96,1972-05-09,unemployed,divorced,professional.course,no,yes,no,2008-05-22,telephone,2,999,0,nonexistent,0
97,1966-06-01,entrepreneur,married,university.degree,no,yes,no,2008-05-27,telephone,1,999,0,nonexistent,0
98,1973-03-21,management,married,university.degree,no,no,no,2009-05-14,cellular,4,999,0,nonexistent,0
99,1979-06-21,blue-collar,married,basic.4y,no,no,yes,2009-05-25,cellular,1,999,0,nonexistent,0
100,1972-03-28,admin.,married,university.degree,no,yes,no,2008-06-30,telephone,1,999,0,nonexistent,0
101,1979-05-16,entrepreneur,married,professional.course,no,no,no,2008-07-09,cellular,4,999,0,nonexistent,0
102,1954-07-05,unemployed,married,basic.9y,no,yes,no,2008-11-11,cellular,1,999,1,failure,0
103,1958-12-17,self-employed,single,basic.9y,no,yes,no,2009-11-26,cellular,1,999,0,nonexistent,1
104,1956-12-08,technician,married,basic.9y,no,yes,yes,2008-11-28,cellular,1,999,0,nonexistent,0
105,1959-11-06,admin.,divorced,high.school,no,yes,no,2008-07-11,cellular,4,999,0,nonexistent,0
106,1979-07-08,services,single,basic.6y,no,yes,no,2009-05-12,cellular,6,999,0,nonexistent,0
107,1975-08-06,entrepreneur,married,basic.9y,no,yes,no,2010-08-18,telephone,1,999,0,nonexistent,0
108,1970-07-02,management,married,university.degree,no,no,no,2008-05-26,telephone,2,999,0,nonexistent,0
109,1968-01-08,admin.,married,university.degree,unknown,yes,no,2008-11-11,cellular,1,999,0,nonexistent,0
110,1976-05-13,technician,married,basic.9y,no,no,no,2008-07-04,cellular,5,999,0,nonexistent,0
111,1956-08-18,services,divorced,high.school,no,no,no,2008-05-12,telephone,3,999,0,nonexistent,0
112,1935-05-04,retired,married,high.school,no,yes,no,2009-08-27,cellular,1,999,1,failure,1
113,1969-03-11,admin.,married,high.school,no,yes,no,2008-06-05,telephone,2,999,0,nonexistent,0
114,1972-07-25,technician,single,university.degree,no,yes,no,2008-05-22,telephone,2,999,0,nonexistent,0
115,1981-10-26,admin.,married,university.degree,no,yes,no,2009-08-28,cellular,1,999,1,failure,0
116,1970-05-07,technician,single,professional.course,unknown,no,no,2008-05-14,telephone,3,999,0,nonexistent,0
117,1956-06-20,technician,single,university.degree,no,yes,no,2010-03-31,telephone,3,999,0,nonexistent,0
118,1967-05-28,blue-collar,divorced,unknown,no,yes,no,2008-07-29,telephone,11,999,0,nonexistent,0
119,1952-06-03,admin.,married,basic.9y,no,no,no,2009-05-21,cellular,1,999,0,nonexistent,1
120,1967-06-10,services,married,unknown,no,no,no,2008-06-26,telephone,2,999,0,nonexistent,0
121,1978-08-28,self-employed,single,high.school,no,yes,no,2008-05-27,telephone,1,999,0,nonexistent,0
122,1976-02-18,admin.,married,university.degree,no,no,no,2010-05-14,cellular,1,999,2,failure,0
123,1974-07-26,blue-collar,married,basic.9y,unknown,no,no,2008-06-25,telephone,1,999,0,nonexistent,0
124,1969-10-04,self-employed,married,university.degree,no,no,no,2008-07-04,cellular,3,999,0,nonexistent,0
125,1973-10-31,housemaid,married,basic.4y,no,no,yes,2008-07-01,cellular,1,999,0,nonexistent,0
126,1970-01-14,technician,married,professional.course,no,yes,no,2008-12-16,telephone,1,999,0,nonexistent,0
127,1965-07-06,management,married,university.degree,no,no,no,2008-11-03,cellular,1,999,0,nonexistent,0
128,1952-09-10,services,married,basic.4y,unknown,yes,no,2008-11-07,cellular,4,999,1,failure,0
129,1954-01-28,management,married,university.degree,no,no,no,2009-04-03,cellular,1,999,1,failure,0
130,1959-07-05,services,married,high.school,unknown,yes,no,2008-05-29,telephone,1,999,0,nonexistent,0
131,1952-01-14,housemaid,divorced,basic.4y,no,yes,yes,2009-09-23,cellular,1,999,0,nonexistent,0
132,1968-02-01,blue-collar,married,basic.6y,unknown,no,no,2008-05-22,telephone,1,999,0,nonexistent,0
133,1981-06-10,student,single,university.degree,no,yes,no,2008-05-28,telephone,6,999,0,nonexistent,0
134,1983-08-09,admin.,married,university.degree,no,yes,no,2008-07-24,cellular,5,999,0,nonexistent,0
135,1966-10-16,admin.,married,high.school,no,no,yes,2008-07-10,cellular,6,999,0,nonexistent,0
136,1963-08-24,management,married,professional.course,no,no,no,2008-05-26,telephone,2,999,0,nonexistent,0
137,1968-05-30,services,married,high.school,no,yes,no,2009-05-06,cellular,2,999,0,nonexistent,1
138,1965-07-25,unemployed,married,high.school,no,yes,no,2009-08-27,cellular,1,999,0,nonexistent,0
139,1975-07-09,services,married,professional.course,no,yes,yes,2009-05-25,cellular,3,999,0,nonexistent,0
140,1975-01-13,blue-collar,single,basic.9y,no,yes,yes,2009-05-19,cellular,1,999,0,nonexistent,0
141,1955-02-03,entrepreneur,married,basic.4y,no,yes,no,2008-11-25,cellular,2,999,1,failure,0
142,1968-03-29,blue-collar,married,basic.4y,no,no,no,2008-11-27,cellular,1,999,0,nonexistent,0
143,1971-03-05,student,married,unknown,no,yes,no,2008-07-07,cellular,17,999,0,nonexistent,0
144,1986-10-11,blue-collar,single,unknown,unknown,no,no,2008-07-28,telephone,4,999,0,nonexistent,0
145,1968-12-11,admin.,married,university.degree,unknown,no,no,2008-11-10,cellular,1,999,0,nonexistent,1
146,1968-12-12,admin.,divorced,basic.9y,no,no,no,2008-11-25,cellular,1,999,0,nonexistent,0
147,1959-03-19,blue-collar,married,high.school,no,no,no,2008-05-19,telephone,4,999,0,nonexistent,0
148,1966-06-01,blue-collar,married,basic.6y,no,yes,yes,2008-05-06,telephone,1,999,0,nonexistent,0
149,1962-09-10,blue-collar,married,basic.9y,unknown,no,no,2008-06-17,telephone,1,999,0,nonexistent,0
150,1963-05-16,admin.,married,unknown,unknown,no,no,2008-08-07,cellular,4,999,0,nonexistent,0
151,1959-07-04,blue-collar,married,basic.9y,unknown,no,no,2008-08-12,cellular,2,999,0,nonexistent,0
152,1969-07-20,admin.,married,university.degree,no,yes,no,2010-04-30,cellular,6,999,0,nonexistent,1
153,1974-09-04,technician,married,university.degree,no,no,no,2008-07-31,cellular,3,999,0,nonexistent,0
154,1976-05-23,technician,single,professional.course,no,no,no,2008-07-24,cellular,1,999,0,nonexistent,0
155,1948-11-20,admin.,married,university.degree,no,no,no,2008-08-15,cellular,2,999,0,nonexistent,0
156,1960-05-11,entrepreneur,single,university.degree,no,no,no,2008-07-15,cellular,2,999,0,nonexistent,0
157,1950-08-09,retired,married,professional.course,no,yes,no,2008-08-20,cellular,3,999,0,nonexistent,0
158,1967-02-12,admin.,married,high.school,no,yes,yes,2008-05-15,telephone,2,999,0,nonexistent,0
159,1972-07-19,admin.,married,university.degree,no,no,no,2008-11-26,cellular,1,999,0,nonexistent,0
160,1969-02-28,self-employed,married,basic.9y,no,no,no,2008-11-04,cellular,1,999,1,failure,0
161,1979-02-18,blue-collar,married,professional.course,unknown,yes,no,2008-05-19,telephone,6,999,0,nonexistent,0
162,1974-08-24,self-employed,single,university.degree,no,yes,no,2009-11-02,cellular,1,999,0,nonexistent,0
163,1955-01-15,admin.,married,high.school,no,yes,no,2010-03-03,cellular,2,999,1,failure,1
164,1978-07-05,admin.,married,university.degree,no,yes,no,2008-07-16,telephone,8,999,0,nonexistent,0
165,1959-05-10,housemaid,married,basic.9y,unknown,no,no,2008-05-26,telephone,1,999,0,nonexistent,0
166,1969-12-05,admin.,single,high.school,no,no,yes,2008-08-28,cellular,2,999,0,nonexistent,0
167,1959-08-04,admin.,married,basic.9y,no,yes,yes,2008-07-22,cellular,4,999,0,nonexistent,0
168,1984-02-05,services,single,high.school,no,no,no,2008-05-19,telephone,2,999,0,nonexistent,0
169,1978-12-05,admin.,divorced,professional.course,no,yes,no,2010-03-23,cellular,2,999,1,failure,1
170,1975-03-16,services,married,high.school,no,no,no,2008-06-02,telephone,14,999,0,nonexistent,0
171,1972-02-28,admin.,married,high.school,no,yes,no,2008-05-30,telephone,3,999,0,nonexistent,0
172,1961-05-05,housemaid,married,basic.4y,unknown,no,no,2008-07-14,cellular,1,999,0,nonexistent,0
173,1976-03-07,housemaid,married,basic.4y,no,no,no,2008-05-29,telephone,1,999,0,nonexistent,0
174,1950-05-03,admin.,single,university.degree,no,no,no,2009-08-27,cellular,3,15,1,success,1
175,1979-05-08,admin.,single,basic.9y,unknown,no,no,2008-05-12,telephone,2,999,0,nonexistent,0
176,1977-03-09,blue-collar,single,basic.9y,unknown,yes,no,2009-05-06,telephone,1,999,1,failure,0
177,1978-12-06,admin.,married,university.degree,no,no,no,2008-11-28,cellular,1,999,0,nonexistent,0
178,1977-12-22,entrepreneur,married,university.degree,no,no,no,2008-11-19,telephone,2,999,0,nonexistent,0
179,1950-03-25,services,married,basic.4y,no,no,no,2008-05-09,telephone,1,999,0,nonexistent,0
180,1931-12-01,retired,married,basic.4y,no,no,yes,2010-07-30,cellular,1,999,1,failure,1
181,1957-11-26,entrepreneur,married,basic.9y,no,no,no,2008-11-11,cellular,1,999,1,failure,0
182,1960-08-01,admin.,married,university.degree,no,yes,yes,2008-05-14,telephone,1,999,0,nonexistent,0
183,1968-08-29,technician,single,university.degree,no,yes,yes,2008-08-08,cellular,2,999,0,nonexistent,0
184,1960-10-14,blue-collar,married,basic.4y,no,yes,no,2008-06-06,telephone,1,999,0,nonexistent,0
185,1970-10-16,blue-collar,married,basic.6y,no,no,no,2009-08-13,cellular,2,3,1,success,1
186,1971-10-13,entrepreneur,divorced,university.degree,no,yes,no,2008-07-16,cellular,1,999,0,nonexistent,0
187,1979-06-21,admin.,single,university.degree,no,no,no,2009-04-16,cellular,1,999,0,nonexistent,0
188,1978-05-02,admin.,single,university.degree,no,no,yes,2008-08-04,cellular,1,999,0,nonexistent,1
189,1972-09-02,technician,single,university.degree,unknown,no,no,2008-08-19,cellular,1,999,0,nonexistent,0
190,1974-03-15,admin.,divorced,basic.6y,no,no,no,2008-05-16,telephone,2,999,0,nonexistent,0
191,1970-07-14,admin.,single,high.school,no,yes,no,2009-03-31,cellular,3,999,0,nonexistent,1
192,1979-08-08,technician,married,university.degree,no,no,no,2008-05-28,telephone,4,999,0,nonexistent,0
193,1976-08-24,blue-collar,single,high.school,no,yes,no,2009-05-21,cellular,5,999,0,nonexistent,0
194,1976-11-19,technician,married,university.degree,no,yes,no,2008-08-26,cellular,2,999,0,nonexistent,0
195,1958-05-27,technician,married,high.school,unknown,no,no,2008-08-05,cellular,1,999,0,nonexistent,0
196,1964-09-20,blue-collar,married,professional.course,unknown,yes,no,2008-06-04,telephone,1,999,0,nonexistent,0
197,1949-06-28,admin.,divorced,high.school,no,yes,no,2008-07-28,cellular,3,999,0,nonexistent,0
198,1973-03-12,blue-collar,married,unknown,no,no,no,2009-05-07,cellular,2,999,0,nonexistent,0
199,1969-12-16,blue-collar,married,basic.9y,no,yes,no,2008-11-04,cellular,4,999,1,failure,1
200,1965-02-14,management,married,high.school,no,yes,no,2008-11-03,cellular,1,999,0,nonexistent,0
201,1981-04-06,self-employed,married,university.degree,no,yes,no,2009-04-16,cellular,1,999,0,nonexistent,0
202,1971-09-20,blue-collar,married,basic.6y,unknown,yes,no,2008-07-23,cellular,1,999,0,nonexistent,0
203,1949-07-04,retired,married,basic.4y,unknown,yes,no,2008-08-04,cellular,1,999,0,nonexistent,0
204,1969-10-30,technician,single,university.degree,unknown,yes,no,2008-07-28,cellular,5,999,0,nonexistent,0
205,1985-06-21,services,single,high.school,no,no,no,2008-07-01,cellular,3,999,0,nonexistent,0
206,1948-06-02,retired,divorced,high.school,no,yes,no,2010-06-25,cellular,4,999,0,nonexistent,0
207,1952-09-08,technician,married,high.school,no,no,yes,2009-05-18,cellular,1,999,0,nonexistent,0
208,1950-05-01,self-employed,married,basic.6y,unknown,yes,no,2008-08-28,cellular,8,999,0,nonexistent,0
209,1979-07-12,admin.,single,university.degree,unknown,no,no,2008-08-22,cellular,2,999,0,nonexistent,0
210,1983-01-29,unknown,single,university.degree,no,no,no,2010-03-16,cellular,1,999,0,nonexistent,0
211,1972-07-10,technician,married,university.degree,no,yes,no,2008-07-07,cellular,1,999,0,nonexistent,0
212,1966-04-14,management,married,university.degree,no,no,no,2009-04-27,cellular,2,999,1,failure,0
213,1961-08-19,admin.,single,university.degree,no,no,no,2008-07-01,cellular,1,999,0,nonexistent,0
214,1976-03-16,admin.,single,high.school,no,yes,no,2008-11-13,cellular,2,999,0,nonexistent,0
215,1970-11-14,technician,married,professional.course,no,no,yes,2008-08-13,cellular,1,999,0,nonexistent,0
216,1971-02-06,blue-collar,single,basic.9y,unknown,yes,no,2008-05-16,telephone,2,999,0,nonexistent,0
217,1962-04-29,self-employed,married,basic.4y,unknown,no,no,2008-05-08,telephone,24,999,0,nonexistent,0
218,1959-10-11,services,married,high.school,unknown,yes,no,2008-08-22,cellular,2,999,0,nonexistent,0
219,1966-04-11,management,married,high.school,no,yes,no,2008-08-12,cellular,1,999,0,nonexistent,0
220,1964-02-12,admin.,married,university.degree,no,yes,no,2008-05-29,telephone,2,999,0,nonexistent,0
221,1965-07-25,management,divorced,university.degree,no,yes,no,2009-05-05,cellular,1,999,0,nonexistent,0
222,1981-08-18,blue-collar,married,professional.course,unknown,yes,no,2009-05-20,cellular,7,999,1,failure,0
223,1980-08-02,admin.,single,university.degree,no,yes,no,2009-10-29,cellular,1,999,0,nonexistent,0
224,1978-04-05,blue-collar,divorced,basic.9y,no,yes,no,2008-05-28,telephone,1,999,0,nonexistent,0
225,1955-03-20,management,married,university.degree,unknown,unknown,unknown,2008-05-22,telephone,2,999,0,nonexistent,0
226,1977-09-07,blue-collar,single,high.school,no,yes,no,2008-07-16,cellular,1,999,0,nonexistent,0
227,1973-09-02,blue-collar,married,basic.4y,no,yes,no,2008-07-18,telephone,1,999,0,nonexistent,0
228,1965-07-02,entrepreneur,married,university.degree,no,yes,yes,2009-05-21,cellular,1,999,0,nonexistent,0
229,1971-04-15,self-employed,married,basic.9y,no,yes,yes,2008-07-24,cellular,1,999,0,nonexistent,0
230,1972-08-24,management,single,basic.9y,no,yes,no,2009-05-18,cellular,1,999,0,nonexistent,0
231,1982-10-29,services,single,high.school,no,yes,yes,2010-09-10,telephone,1,999,0,nonexistent,0
232,1975-05-23,management,married,university.degree,no,no,yes,2008-06-05,telephone,2,999,0,nonexistent,0
233,1975-01-29,management,married,high.school,unknown,yes,no,2008-05-29,telephone,1,999,0,nonexistent,0
234,1969-05-17,housemaid,married,basic.4y,no,yes,yes,2008-08-01,cellular,1,999,0,nonexistent,0
235,1954-05-04,blue-collar,married,basic.9y,unknown,unknown,unknown,2008-06-20,telephone,1,999,0,nonexistent,0
236,1986-06-27,admin.,single,high.school,no,no,no,2009-05-29,cellular,8,999,0,nonexistent,0
237,1975-10-29,admin.,single,unknown,no,no,yes,2008-07-30,cellular,4,999,0,nonexistent,0
238,1978-05-04,blue-collar,married,professional.course,no,no,no,2008-07-31,telephone,3,999,0,nonexistent,0
239,1980-05-04,admin.,married,university.degree,no,no,no,2008-05-16,telephone,3,999,0,nonexistent,0
240,1970-09-25,technician,married,professional.course,no,yes,no,2008-06-13,telephone,3,999,0,nonexistent,0
241,1937-02-12,retired,single,professional.course,no,no,no,2010-04-02,cellular,1,6,3,success,1
242,1955-02-25,services,married,high.school,no,no,no,2008-11-10,cellular,1,999,0,nonexistent,0
243,1967-04-15,services,married,high.school,unknown,yes,no,2008-05-09,telephone,3,999,0,nonexistent,0
244,1970-09-27,technician,married,professional.course,unknown,no,no,2008-11-12,telephone,1,999,0,nonexistent,0
245,1973-04-19,technician,married,professional.course,no,no,no,2008-08-25,cellular,1,999,0,nonexistent,0
246,1967-12-17,self-employed,married,university.degree,no,yes,no,2008-08-25,cellular,2,999,0,nonexistent,0
247,1968-06-20,services,single,high.school,unknown,no,no,2008-05-07,telephone,7,999,0,nonexistent,0
248,1941-01-07,unknown,married,university.degree,no,yes,yes,2009-09-01,cellular,2,3,1,success,0
249,1952-09-02,management,married,university.degree,no,yes,no,2008-05-07,telephone,1,999,0,nonexistent,0
250,1969-07-15,housemaid,married,university.degree,no,yes,no,2008-05-28,telephone,7,999,0,nonexistent,0
251,1978-03-21,services,single,basic.9y,no,no,no,2008-05-07,telephone,1,999,0,nonexistent,0
252,1976-08-05,admin.,single,high.school,no,yes,no,2008-08-15,cellular,1,999,0,nonexistent,0
253,1959-08-27,admin.,married,basic.9y,no,yes,no,2008-11-27,cellular,1,999,0,nonexistent,0
254,1971-03-06,blue-collar,married,basic.9y,no,no,no,2008-05-14,telephone,1,999,0,nonexistent,0
255,1971-09-30,technician,married,high.school,no,no,no,2008-11-11,cellular,1,999,0,nonexistent,0
256,1982-02-06,student,single,university.degree,no,no,no,2009-04-23,telephone,1,999,0,nonexistent,0
257,1980-05-16,entrepreneur,married,basic.6y,no,no,no,2009-05-19,cellular,3,999,0,nonexistent,0
258,1954-08-09,management,married,university.degree,no,yes,no,2008-07-28,cellular,1,999,0,nonexistent,0
259,1951-06-21,services,divorced,high.school,unknown,no,yes,2008-05-01,telephone,2,999,0,nonexistent,0
260,1977-03-15,housemaid,married,basic.4y,unknown,yes,no,2008-06-25,telephone,4,999,0,nonexistent,0
261,1967-11-29,blue-collar,married,basic.4y,unknown,no,no,2009-04-03,cellular,2,999,0,nonexistent,0
262,1974-05-25,technician,single,university.degree,no,no,no,2008-07-22,cellular,2,999,0,nonexistent,0
263,1971-10-16,technician,married,basic.6y,no,no,no,2008-06-30,telephone,3,999,0,nonexistent,0
264,1959-01-14,management,married,basic.6y,no,no,no,2008-11-19,cellular,5,999,0,nonexistent,0
265,1970-10-10,services,married,high.school,no,no,no,2008-06-19,telephone,1,999,0,nonexistent,0
266,1972-09-22,services,single,high.school,no,no,no,2008-05-21,telephone,3,999,0,nonexistent,0
